Percentage served,Time in ms
0,1.184
1,11.916
2,15.068
3,17.200
4,19.045
5,20.556
6,22.384
7,23.907
8,25.221
9,26.475
10,27.748
11,29.042
12,30.248
13,31.273
14,32.353
15,33.531
16,34.678
17,35.793
18,36.933
19,37.887
20,38.767
21,39.779
22,40.830
23,41.878
24,42.845
25,43.928
26,45.000
27,46.108
28,47.220
29,48.366
30,49.442
31,50.495
32,51.557
33,52.595
34,53.536
35,54.631
36,55.592
37,56.597
38,57.490
39,58.388
40,59.293
41,60.110
42,61.040
43,61.955
44,62.884
45,63.786
46,64.728
47,65.752
48,66.780
49,67.782
50,68.714
51,69.586
52,70.536
53,71.383
54,72.406
55,73.566
56,74.676
57,75.811
58,76.905
59,78.198
60,79.285
61,80.688
62,82.219
63,83.712
64,85.489
65,87.383
66,89.404
67,91.872
68,94.495
69,97.113
70,101.661
71,106.420
72,109.912
73,113.128
74,117.937
75,123.120
76,130.202
77,138.828
78,149.722
79,159.527
80,167.828
81,174.775
82,185.847
83,207.451
84,228.470
85,243.024
86,261.324
87,273.428
88,289.831
89,305.245
90,322.599
91,336.311
92,348.716
93,363.466
94,376.169
95,420.288
96,437.286
97,457.374
98,474.773
99,1047.667
