Percentage served,Time in ms
0,0.928
1,7.262
2,10.363
3,12.152
4,14.135
5,15.821
6,17.232
7,18.464
8,19.526
9,20.655
10,21.732
11,22.839
12,23.900
13,24.998
14,25.956
15,26.968
16,27.880
17,28.977
18,29.872
19,30.739
20,31.713
21,32.702
22,33.708
23,34.590
24,35.593
25,36.498
26,37.398
27,38.301
28,39.404
29,40.447
30,41.415
31,42.618
32,43.716
33,44.803
34,45.848
35,46.809
36,47.801
37,48.913
38,50.125
39,51.489
40,52.795
41,53.917
42,55.316
43,56.818
44,58.309
45,60.052
46,61.921
47,63.759
48,65.844
49,67.850
50,70.474
51,72.712
52,75.692
53,78.963
54,82.232
55,85.639
56,88.816
57,91.589
58,94.220
59,97.563
60,100.919
61,104.548
62,108.420
63,112.268
64,115.862
65,119.492
66,124.521
67,128.574
68,132.340
69,136.673
70,140.756
71,144.434
72,148.623
73,152.453
74,158.849
75,164.448
76,171.267
77,182.099
78,199.876
79,218.129
80,239.294
81,265.799
82,282.699
83,299.940
84,315.349
85,324.084
86,331.889
87,345.069
88,358.535
89,364.931
90,373.561
91,382.505
92,392.035
93,403.135
94,415.427
95,436.037
96,454.187
97,1028.354
98,1040.039
99,1071.401
