starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:39:06 2014	1399981146	0	1	1	1
Tue May 13 19:39:07 2014	1399981147	0	3	3	3
Tue May 13 19:39:07 2014	1399981147	0	4	4	4
Tue May 13 19:39:07 2014	1399981147	0	4	4	4
Tue May 13 19:39:07 2014	1399981147	0	4	5	4
Tue May 13 19:39:07 2014	1399981147	0	5	5	5
Tue May 13 19:39:07 2014	1399981147	0	5	5	5
Tue May 13 19:39:06 2014	1399981146	0	6	6	6
Tue May 13 19:39:07 2014	1399981147	0	6	6	6
Tue May 13 19:39:07 2014	1399981147	0	6	6	6
Tue May 13 19:39:07 2014	1399981147	0	6	6	6
Tue May 13 19:39:07 2014	1399981147	0	6	7	6
Tue May 13 19:39:06 2014	1399981146	0	6	7	6
Tue May 13 19:39:07 2014	1399981147	0	7	7	7
Tue May 13 19:39:07 2014	1399981147	0	7	7	7
Tue May 13 19:39:07 2014	1399981147	0	7	7	7
Tue May 13 19:39:07 2014	1399981147	0	7	7	7
Tue May 13 19:39:07 2014	1399981147	0	7	8	7
Tue May 13 19:39:06 2014	1399981146	0	8	8	8
Tue May 13 19:39:07 2014	1399981147	0	8	8	8
Tue May 13 19:39:07 2014	1399981147	1	8	8	8
Tue May 13 19:39:07 2014	1399981147	0	8	8	8
Tue May 13 19:39:07 2014	1399981147	1	8	9	8
Tue May 13 19:39:07 2014	1399981147	0	8	9	8
Tue May 13 19:39:06 2014	1399981146	0	9	9	9
Tue May 13 19:39:07 2014	1399981147	0	9	9	9
Tue May 13 19:39:07 2014	1399981147	0	9	9	9
Tue May 13 19:39:07 2014	1399981147	0	9	9	9
Tue May 13 19:39:06 2014	1399981146	0	10	10	10
Tue May 13 19:39:07 2014	1399981147	0	10	10	10
Tue May 13 19:39:07 2014	1399981147	0	10	10	10
Tue May 13 19:39:07 2014	1399981147	0	10	10	10
Tue May 13 19:39:06 2014	1399981146	0	10	10	10
Tue May 13 19:39:07 2014	1399981147	0	10	10	10
Tue May 13 19:39:07 2014	1399981147	0	10	10	10
Tue May 13 19:39:07 2014	1399981147	0	10	10	10
Tue May 13 19:39:06 2014	1399981146	0	10	11	10
Tue May 13 19:39:06 2014	1399981146	0	11	11	11
Tue May 13 19:39:07 2014	1399981147	0	11	11	11
