Percentage served,Time in ms
0,1008.874
1,1012.434
2,1016.065
3,1019.262
4,1024.232
5,1116.651
6,1209.399
7,1301.565
8,1390.888
9,1481.203
10,1575.999
11,1668.483
12,1760.191
13,1849.328
14,1939.418
15,2027.753
16,2117.362
17,2207.276
18,2296.444
19,2387.015
20,2476.710
21,2567.459
22,2659.078
23,2748.136
24,2839.837
25,2930.420
26,3028.019
27,3117.006
28,3207.165
29,3295.608
30,3385.709
31,3478.581
32,3568.290
33,3659.256
34,3750.248
35,3842.167
36,3934.258
37,4026.056
38,4116.937
39,4204.682
40,4293.423
41,4387.257
42,4478.477
43,4570.944
44,4661.142
45,4753.060
46,4847.056
47,4935.920
48,5029.141
49,5121.240
50,5213.636
51,5311.278
52,5402.174
53,5495.344
54,5588.067
55,5681.088
56,5777.830
57,5866.186
58,5954.596
59,6048.205
60,6139.616
61,6236.361
62,6327.873
63,6422.411
64,6523.452
65,6612.629
66,6710.097
67,6799.866
68,6888.032
69,6982.585
70,7072.821
71,7164.572
72,7259.190
73,7350.022
74,7445.177
75,7536.501
76,7625.559
77,7721.194
78,7808.931
79,7906.245
80,7996.523
81,8085.676
82,8180.955
83,8271.605
84,8365.789
85,8456.258
86,8546.514
87,8645.259
88,8733.223
89,8827.983
90,8917.349
91,9009.802
92,9106.750
93,9199.056
94,9296.050
95,9395.590
96,9483.474
97,9578.920
98,9668.076
99,9759.204
