starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:56:40 2014	1399982200	0	2	2	2
Tue May 13 19:56:40 2014	1399982200	0	2	2	2
Tue May 13 19:56:40 2014	1399982200	0	2	2	2
Tue May 13 19:56:40 2014	1399982200	0	2	2	2
Tue May 13 19:56:40 2014	1399982200	0	2	2	2
Tue May 13 19:56:40 2014	1399982200	0	3	3	3
Tue May 13 19:56:40 2014	1399982200	0	3	3	3
Tue May 13 19:56:40 2014	1399982200	0	4	4	4
Tue May 13 19:56:40 2014	1399982200	0	6	6	6
Tue May 13 19:56:40 2014	1399982200	0	6	6	6
Tue May 13 19:56:41 2014	1399982201	3	7	9	5
Tue May 13 19:56:41 2014	1399982201	1	9	9	8
Tue May 13 19:56:40 2014	1399982200	0	9	9	9
Tue May 13 19:56:41 2014	1399982201	3	7	9	6
Tue May 13 19:56:41 2014	1399982201	3	7	10	6
Tue May 13 19:56:41 2014	1399982201	0	9	10	8
Tue May 13 19:56:41 2014	1399982201	3	7	10	6
Tue May 13 19:56:41 2014	1399982201	0	10	10	9
Tue May 13 19:56:41 2014	1399982201	0	10	10	9
Tue May 13 19:56:41 2014	1399982201	0	10	11	9
Tue May 13 19:56:41 2014	1399982201	0	11	12	11
Tue May 13 19:56:41 2014	1399982201	0	12	12	11
Tue May 13 19:56:41 2014	1399982201	0	12	12	11
Tue May 13 19:56:41 2014	1399982201	0	13	13	12
Tue May 13 19:56:41 2014	1399982201	0	13	13	12
Tue May 13 19:56:41 2014	1399982201	0	13	14	12
Tue May 13 19:56:41 2014	1399982201	0	14	14	13
Tue May 13 19:56:41 2014	1399982201	4	10	14	9
Tue May 13 19:56:41 2014	1399982201	0	14	14	13
Tue May 13 19:56:41 2014	1399982201	0	15	15	14
Tue May 13 19:56:41 2014	1399982201	4	12	16	11
Tue May 13 19:56:41 2014	1399982201	5	12	16	10
Tue May 13 19:56:41 2014	1399982201	4	12	16	12
Tue May 13 19:56:41 2014	1399982201	4	13	17	12
Tue May 13 19:56:40 2014	1399982200	1	16	17	16
Tue May 13 19:56:40 2014	1399982200	0	17	17	17
Tue May 13 19:56:40 2014	1399982200	1	17	17	17
Tue May 13 19:56:41 2014	1399982201	0	17	17	17
Tue May 13 19:56:40 2014	1399982200	0	17	17	17
Tue May 13 19:56:40 2014	1399982200	0	17	17	17
Tue May 13 19:56:40 2014	1399982200	1	17	17	17
Tue May 13 19:56:40 2014	1399982200	1	17	18	17
Tue May 13 19:56:41 2014	1399982201	0	18	18	17
Tue May 13 19:56:40 2014	1399982200	0	18	18	18
Tue May 13 19:56:40 2014	1399982200	1	17	18	17
Tue May 13 19:56:40 2014	1399982200	0	17	18	17
Tue May 13 19:56:41 2014	1399982201	4	15	18	13
Tue May 13 19:56:40 2014	1399982200	0	18	18	18
Tue May 13 19:56:41 2014	1399982201	0	18	18	17
Tue May 13 19:56:41 2014	1399982201	4	15	18	13
Tue May 13 19:56:40 2014	1399982200	0	18	18	18
Tue May 13 19:56:40 2014	1399982200	1	17	18	17
Tue May 13 19:56:40 2014	1399982200	1	18	18	18
Tue May 13 19:56:40 2014	1399982200	0	18	18	18
Tue May 13 19:56:40 2014	1399982200	0	18	18	18
Tue May 13 19:56:41 2014	1399982201	4	15	18	13
Tue May 13 19:56:41 2014	1399982201	4	15	18	14
Tue May 13 19:56:41 2014	1399982201	0	18	19	17
